"directorio","secuencia_p","orden","clase","mes","estrato1","sex","age","p6050","p6090","p6100","p6210","p6210s1","p6240","p7495","p7500s1a1","p7500s2a1","p7500s3a1","p7505","p7510s1a1","p7510s2a1","p7510s3a1","p7510s5a1","p7510s6a1","p7510s7a1","pet","iof1","iof2","iof3h","iof3i","iof6","ingtotob","ingtot","maxEducLevel","regSalud","wap","ocu","dsi","pea","inac","totalHoursWorked","formal"
4514357,1,2,1,1,2,1,51,2,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,70000,6,1,1,1,0,1,0,48,0
4514357,1,1,1,1,2,0,51,1,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1083333.33333333,1083333.33333333,6,1,1,1,0,1,0,45,1
4514358,1,2,1,1,2,1,18,3,1,1,5,11,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4e+05,4e+05,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514358,1,1,1,1,2,0,38,1,1,1,5,11,4,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,890616,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514359,1,1,1,1,2,1,43,1,1,1,6,3,1,2,0,0,0,1,0,0,0,0,180000,0,1,0,0,0,0,0,3633333.33333333,3633333.33333333,7,1,1,1,0,1,0,48,1
4514359,1,5,1,1,2,0,18,3,1,1,6,0,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514359,1,3,1,1,2,0,21,3,1,1,5,11,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514360,1,2,1,1,2,1,47,2,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1300000,1300000,6,1,1,1,0,1,0,70,1
4514360,1,1,1,1,2,0,41,1,1,2,5,11,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1659806.66666667,1659806.66666667,6,2,1,1,0,1,0,40,1
4514361,1,1,1,1,2,0,66,1,1,1,3,1,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514361,1,2,1,1,2,0,31,3,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,826883.666666667,826883.666666667,6,1,1,1,0,1,0,48,1
4514361,1,3,1,1,2,1,36,9,1,1,4,8,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,825800.333333333,825800.333333333,5,1,1,1,0,1,0,48,1
4514362,1,2,1,1,2,0,37,3,9,1.38606565221552,6,4,6,2,0,0,0,1,0,0,0,0,0,6e+05,1,0,0,0,0,0,737717,737717,7,1.37731148797547,1,0,0,0,1,47.4026719864587,0.586809333816951
4514362,1,1,1,1,2,0,69,1,1,1,4,9,6,1,0,3e+06,0,2,0,0,0,0,0,0,1,0,3e+06,0,0,0,3e+06,3e+06,5,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514363,1,1,1,1,2,0,77,1,1,1,3,5,4,1,180000,1600000,0,2,0,0,0,0,0,0,1,0,1600000,0,0,180000,1780000,1780000,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514363,2,2,1,1,2,1,24,3,1,1,6,3,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514363,2,1,1,1,2,0,50,1,1,1,5,11,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,910333.416666667,910333.416666667,6,1,1,1,0,1,0,48,1
4514364,1,2,1,1,2,0,42,2,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1087000,1087000,6,1,1,1,0,1,0,48,1
4514364,1,1,1,1,2,1,45,1,1,1,3,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1500000,1500000,4,1,1,1,0,1,0,45,1
4514364,1,3,1,1,2,1,20,3,1,1,6,2,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,786000,786000,7,1,1,1,0,1,0,60,1
4514365,1,1,1,1,2,1,49,1,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1283140,1283140,6,1,1,1,0,1,0,48,1
4514366,1,1,1,1,2,0,47,1,2,1.38606565221552,5,10,4,1,0,0,1e+05,2,0,0,0,0,0,0,1,0,0,1e+05,0,0,3e+05,3e+05,6,1.37731148797547,1,1,0,1,0,9,0
4514367,1,1,1,1,2,1,24,1,1,3,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,850000,850000,6,3,1,1,0,1,0,60,0
4514368,1,2,1,1,2,1,27,3,1,1,6,1,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1333140,1333140,7,1,1,1,0,1,0,42,1
4514368,1,1,1,1,2,0,48,1,1,1,5,11,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514369,1,3,1,1,2,0,24,3,1,1,6,7,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3050000,3050000,7,1,1,1,0,1,0,40,1
4514369,1,1,1,1,2,0,47,1,1,1,6,8,1,2,0,0,0,1,0,0,0,0,0,1e+06,1,0,0,0,0,0,2283333.33333333,2283333.33333333,7,1,1,1,0,1,0,84,1
4514369,1,2,1,1,2,1,55,2,1,1,4,9,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1800000,1800000,5,1,1,1,0,1,0,48,1
4514370,1,1,1,1,3,0,30,1,1,3,6,3,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514370,2,2,1,1,3,1,21,5,1,3,6,4,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,350000,350000,7,3,1,1,0,1,0,15,0
4514370,2,1,1,1,3,0,72,1,1,1,6,7,6,1,0,950000,0,2,0,0,0,0,0,0,1,0,950000,0,0,0,950000,950000,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514371,1,1,1,1,2,1,29,1,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,820857,820857,6,1,1,1,0,1,0,48,0
4514372,1,1,1,1,3,0,63,1,1,3,5,11,1,1,8e+05,0,0,2,0,0,0,0,0,0,1,0,0,0,0,8e+05,1300000,1300000,6,3,1,1,0,1,0,48,0
4514372,1,2,1,1,3,0,66,5,2,1.38606565221552,3,2,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1.37731148797547,1,0,0,0,1,47.4026719864587,0.586809333816951
4514374,1,2,1,1,2,1,35,3,1,1,3,5,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1513140,1513140,4,1,1,1,0,1,0,56,1
4514374,1,1,1,1,2,0,56,1,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,882333.416666667,882333.416666667,6,1,1,1,0,1,0,48,1
4514375,1,1,1,1,2,0,53,1,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1275000,1275000,6,1,1,1,0,1,0,48,1
4514375,1,2,1,1,2,0,23,3,1,1,6,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1625000,1625000,7,1,1,1,0,1,0,48,1
4514376,1,1,1,1,2,1,41,1,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,2e+06,1,0,0,0,0,0,820857,820857,6,1,1,1,0,1,0,49,1
4514376,1,2,1,1,2,0,39,2,1,1,5,11,4,2,0,0,0,1,0,0,0,0,1300000,1200000,1,0,0,0,0,0,0,0,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514377,1,1,1,1,2,0,32,1,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,820857,820857,6,1,1,1,0,1,0,48,0
4514378,1,2,1,1,2,0,64,2,1,3,3,5,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514378,1,1,1,1,2,1,62,1,1,3,3,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1550000,1550000,4,3,1,1,0,1,0,84,0
4514379,1,1,1,1,2,1,24,1,1,1,6,0,1,2,0,0,0,1,0,0,0,0,0,1400000,1,0,0,0,0,0,1693140,1693140,7,1,1,1,0,1,0,48,1
4514380,1,2,1,1,3,0,43,2,1,2,6,7,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3150000,3150000,7,2,1,1,0,1,0,30,1
4514380,1,1,1,1,3,1,55,1,1,2,6,9,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2925000,2925000,7,2,1,1,0,1,0,30,1
4514381,1,1,1,1,2,0,73,1,1,1,3,5,1,1,4e+05,0,0,1,1200000,0,0,0,0,0,1,0,0,1e+05,0,4e+05,1587717,1587717,4,1,1,1,0,1,0,40,1
4514382,1,2,1,1,2,1,51,3,1,3,4,7,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,1e+06,5,3,1,1,0,1,0,48,0
4514382,1,1,1,1,2,0,76,1,1,3,3,1,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,80000,80000,3,3,1,1,0,1,0,30,0
4514383,1,1,1,1,3,1,86,1,1,1,3,5,6,1,0,1180000,0,2,0,0,0,0,0,0,1,0,1180000,0,0,0,1180000,1180000,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514383,1,2,1,1,3,0,56,2,1,3,3,5,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514383,1,3,1,1,3,1,47,3,1,3,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5e+05,5e+05,6,3,1,1,0,1,0,60,0
4514384,1,1,1,1,3,1,86,1,1,1,3,4,6,1,1200000,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1200000,1200000,1200000,3,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514384,1,4,1,1,3,1,36,4,1,1,4,6,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514384,1,3,1,1,3,0,56,3,1,1,5,11,4,1,6e+05,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6e+05,780000,780000,6,1,1,1,0,1,0,8,0
4514384,1,2,1,1,3,0,78,2,1,1,3,3,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514384,1,5,1,1,3,0,54,3,2,1.38606565221552,5,11,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.37731148797547,1,0,0,0,1,47.4026719864587,0.586809333816951
4514384,1,8,1,1,3,0,47,3,1,1,5,11,6,2,0,0,0,1,0,0,0,0,90000,0,1,0,0,0,0,0,882523.666666667,882523.666666667,6,1,1,1,0,1,0,48,1
4514384,1,6,1,1,3,0,29,4,1,1,5,11,1,1,0,0,150000,2,0,0,0,0,0,0,1,0,0,150000,0,0,1237140,1237140,6,1,1,1,0,1,0,40,1
4514385,1,1,1,1,3,0,52,1,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2500000,6,1,1,1,0,1,0,54,0
4514385,1,2,1,1,3,0,18,3,2,1.38606565221552,5,10,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1e+05,6,1.37731148797547,1,0,0,0,1,47.4026719864587,0.586809333816951
4514386,1,1,1,1,3,0,78,1,1,1,3,5,6,1,520000,649191,0,2,0,0,0,0,0,0,1,0,649191,0,0,520000,1169191,1169191,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514387,1,1,1,1,3,1,63,1,1,1,5,11,6,1,1200000,0,0,1,0,0,0,2e+05,0,0,1,16666.6666666667,0,0,0,1200000,7216666.66666667,7216666.66666667,6,1,1,1,0,1,0,48,0
4514387,1,3,1,1,3,0,25,6,1,1,5,11,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1551473.33333333,1551473.33333333,6,1,1,1,0,1,0,60,1
