"dominio","...1","directorio","secuencia_p","orden","clase","mes","estrato1","sex","age","p6050","p6090","p6210","p6210s1","p6240","oficio","p6426","relab","hoursWorkUsual","p6870","p7040","p7090","p7495","p7500s1a1","p7500s2a1","p7500s3a1","p7505","p7510s1a1","p7510s2a1","p7510s3a1","p7510s5a1","p7510s6a1","p7510s7a1","impa","isa","iof1","iof2","iof3h","iof3i","iof6","ingtotob","ingtot","fex_c","depto","fex_dpto","fweight","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","y_total_m","y_total_m_ha","ingtot_H"
"BOGOTA",2,4514331,1,1,1,1,"2","1",36,"1","1","5","11","1","39",166,2,45,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1840833.33333333,0,0,0,0,0,0,1840833.33333333,1840833.33333333,254.687742271476,11,254.687742271476,255,1,"2",1,45,"1",0,0,1620833.25,8404.3203125,40907.4074074073
"BOGOTA",9,4514333,1,1,1,1,"2","1",51,"1","1","6","3","1","85",12,1,48,4,2,2,"1",5e+05,0,0,"2",0,0,0,0,0,0,1378973.33333333,0,0,0,0,0,5e+05,1878973.33333333,1878973.33333333,194.208921972393,11,194.208921972393,194,0,"1",1,48,"1",0,0,1378973.375,6703.3427734375,39145.2777777777
"BOGOTA",14,4514334,1,1,1,1,"2","1",45,"1","1","3","5","1","45",15,1,56,3,2,2,"2",0,0,0,"2",0,0,0,0,0,0,883357,0,0,0,0,0,0,883357,883357,243.45515246432,11,243.45515246432,243,0,"1",1,56,"1",0,1,883357,3680.65405273438,15774.2321428571
"BOGOTA",16,4514335,1,1,1,1,"2","1",61,"1","1","3","3","1","53",120,1,40,7,2,2,"2",0,0,0,"2",0,0,0,0,0,0,7e+05,0,0,0,0,0,0,7e+05,1200000,230.177656890553,11,230.177656890553,230,0,"3",2,40,"0",0,0,7e+05,4083.33325195312,30000
"BOGOTA",22,4514338,1,2,1,1,"2","0",35,"2","1","6","5","6","13",24,2,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1941500,0,0,0,0,0,0,1941500,1941500,341.979787849128,11,341.979787849128,342,0,"2",1,48,"1",0,0,1941500.125,9437.84765625,40447.9166666667
"BOGOTA",23,4514339,1,1,1,1,"2","0",35,"1","1","5","11","1","42",36,1,40,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,1083000,0,0,0,0,0,0,1083000,1083000,352.079215448786,11,352.079215448786,352,1,"1",1,40,"1",0,0,1083000,6317.5,27075
"BOGOTA",26,4514339,1,2,1,1,"2","1",39,"2","1","6","7","4","33",94,1,44,9,2,2,"2",0,0,0,"1",0,0,0,0,150000,0,1616333.33333333,0,0,0,0,0,0,1616333.33333333,1716333.33333333,352.079215448786,11,352.079215448786,352,0,"1",1,44,"1",0,0,1616333.375,8571.46484375,39007.5757575757
"BOGOTA",31,4514342,1,2,1,1,"2","1",29,"3","2","6","2","4","37",6,4,40,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1e+06,0,0,0,0,0,0,1e+06,1e+06,254.687742271476,11,254.687742271476,255,0,NA,2,40,"0",1,1,1e+06,5833.33349609375,25000
"BOGOTA",34,4514343,1,1,1,1,"2","1",29,"1","1","5","11","4","45",24,1,54,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,779000,0,0,0,0,0,0,779000,779000,429.27183342678,11,429.27183342678,429,1,"1",1,54,"1",0,1,779000,3366.04931640625,14425.9259259259
"BOGOTA",38,4514344,1,2,1,1,"2","0",44,"2","2","4","8","6","57",6,4,42,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,3e+05,0,0,0,0,0,0,3e+05,3e+05,205.425424579072,11,205.425424579072,205,0,NA,2,42,"0",1,1,3e+05,1666.66662597656,7142.85714285714
"BOGOTA",39,4514345,1,5,1,1,"2","1",31,"3","1","5","11","6","45",24,1,55,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121000,173.941869400003,11,173.941869400003,174,1,"1",1,55,"1",0,0,1617550.51747335,8541.87432821602,38563.6363636364
"BOGOTA",43,4514345,1,4,1,1,"2","0",18,"3","1","5","11","1","45",18,1,84,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,173.941869400003,11,173.941869400003,174,1,"1",2,84,"0",0,1,1617550.51747335,8541.87432821602,2976.19047619048
"BOGOTA",44,4514346,1,1,1,1,"2","1",55,"1","1","5","11","1","84",2,5,48,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+05,238.640556816578,11,238.640556816578,239,1,"3",2,48,"0",0,1,1617550.51747335,8541.87432821602,18750
"BOGOTA",49,4514348,1,1,1,1,"2","0",56,"1","1","3","5","1","55",30,1,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,820857,0,0,0,0,0,0,820857,820857,347.558417964202,11,347.558417964202,348,0,"1",1,48,"1",0,0,820857,3990.27709960938,17101.1875
"BOGOTA",52,4514349,1,3,1,1,"2","1",23,"3","1","6","4","1","39",51,1,40,9,2,2,"2",0,0,0,"1",0,0,0,0,9e+05,3400000,882333.416666667,0,0,0,0,0,0,1226333.41666667,1226333.41666667,243.471239664797,11,243.471239664797,243,0,"1",1,40,"1",0,0,882333.4375,5146.94482421875,30658.3354166667
"BOGOTA",53,4514349,1,2,1,1,"2","1",30,"3","1","5","11","1","53",8,1,54,4,2,2,"2",0,0,0,"1",0,0,0,0,0,9e+05,949806.666666667,0,0,0,0,0,0,1237806.66666667,1237806.66666667,243.471239664797,11,243.471239664797,243,1,"1",1,54,"1",0,0,949806.6875,4104.10302734375,22922.3456790124
"BOGOTA",54,4514350,1,1,1,1,"2","0",50,"1","1","6","2","1","45",72,4,48,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,6e+05,0,0,0,0,0,0,6e+05,6e+05,254.687742271476,11,254.687742271476,255,0,"1",2,48,"0",1,1,6e+05,2916.66674804688,12500
"BOGOTA",55,4514350,1,2,1,1,"2","1",28,"3","1","6","2","1","39",24,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,949806.666666667,0,0,0,0,0,0,949806.666666667,949806.666666667,254.687742271476,11,254.687742271476,255,0,"1",1,48,"1",0,0,949806.6875,4617.11572265625,19787.6388888889
"BOGOTA",57,4514351,1,1,1,1,"2","0",54,"1","1","4","8","1","79",120,4,66,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1500000,0,0,0,0,0,0,1500000,1500000,241.981809536919,11,241.981809536919,242,0,"3",2,66,"0",1,1,1500000,5303.0302734375,22727.2727272727
"BOGOTA",59,4514352,1,2,1,1,"2","1",36,"3","1","5","11","4","37",36,1,16,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,3e+05,0,0,0,0,0,0,310000,310000,258.629844712917,11,258.629844712917,259,1,"3",2,16,"0",0,1,3e+05,4375,19375
"BOGOTA",60,4514353,1,1,1,1,"2","0",53,"1","1","4","8","4","56",120,4,40,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,60000,0,0,0,0,0,0,60000,60000,201.182391770539,11,201.182391770539,201,0,"1",2,40,"0",1,1,60000,350,1500
"BOGOTA",62,4514354,1,2,1,1,"2","0",33,"2","1","6","3","1","39",24,1,48,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1591500,0,0,0,0,0,0,1591500,1591500,200.904627094488,11,200.904627094488,201,0,"1",1,48,"1",0,0,1591500,7736.45849609375,33156.25
"BOGOTA",65,4514354,1,1,1,1,"2","1",38,"1","1","5","11","1","37",96,1,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,795883.666666667,0,0,0,0,0,0,795883.666666667,795883.666666667,200.904627094488,11,200.904627094488,201,1,"1",1,48,"1",0,0,795883.6875,3868.87915039062,16580.9097222222
"BOGOTA",71,4514357,1,2,1,1,"2","1",51,"2","1","5","11","1","93",100,4,48,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,243.471239664797,11,243.471239664797,243,1,"1",2,48,"0",1,1,1617550.51747335,8541.87432821602,1458.33333333333
"BOGOTA",73,4514357,1,1,1,1,"2","0",51,"1","1","5","11","1","55",72,1,45,7,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1083333.33333333,0,0,0,0,0,0,1083333.33333333,1083333.33333333,243.471239664797,11,243.471239664797,243,1,"1",1,45,"1",0,0,1083333.375,5617.2841796875,24074.074074074
"BOGOTA",77,4514359,1,1,1,1,"2","1",43,"1","1","6","3","1","21",24,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,180000,0,3633333.33333333,0,0,0,0,0,0,3633333.33333333,3633333.33333333,144.946604279989,11,144.946604279989,145,0,"1",1,48,"1",0,0,3633333.25,17662.037109375,75694.4444444444
"BOGOTA",82,4514360,1,2,1,1,"2","1",47,"2","1","5","11","1","98",204,4,70,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1300000,0,0,0,0,0,0,1300000,1300000,254.121161167727,11,254.121161167727,254,1,"1",1,70,"1",1,1,1300000,4333.33349609375,18571.4285714286
"BOGOTA",84,4514360,1,1,1,1,"2","0",41,"1","1","5","11","1","32",48,2,40,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,1659806.66666667,0,0,0,0,0,0,1659806.66666667,1659806.66666667,254.121161167727,11,254.121161167727,254,1,"2",1,40,"1",0,0,1659806.625,9682.205078125,41495.1666666668
"BOGOTA",87,4514361,1,2,1,1,"2","0",31,"3","1","5","11","1","97",24,1,48,5,2,2,"2",0,0,0,"2",0,0,0,0,0,0,826883.666666667,0,0,0,0,0,0,826883.666666667,826883.666666667,288.196672672141,11,288.196672672141,288,1,"1",1,48,"1",0,0,826883.6875,4019.57348632812,17226.7430555556
"BOGOTA",88,4514361,1,3,1,1,"2","1",36,"9","1","4","8","1","98",156,1,48,5,2,2,"2",0,0,0,"2",0,0,0,0,0,0,825800.333333333,0,0,0,0,0,0,825800.333333333,825800.333333333,288.196672672141,11,288.196672672141,288,0,"1",1,48,"1",0,0,825800.375,4014.30737304688,17204.1736111111
"BOGOTA",95,4514363,2,1,1,1,"2","0",50,"1","1","5","11","4","55",108,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,910333.416666667,0,0,0,0,0,0,910333.416666667,910333.416666667,234.707409371681,11,234.707409371681,235,1,"1",1,48,"1",0,0,910333.4375,4425.23193359375,18965.2795138889
"BOGOTA",96,4514364,1,2,1,1,"2","0",42,"2","1","5","11","1","54",12,3,48,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1087000,0,0,0,0,0,0,1087000,1087000,330.763285242449,11,330.763285242449,331,1,"1",1,48,"1",0,1,1087000,5284.02783203125,22645.8333333333
"BOGOTA",98,4514364,1,1,1,1,"2","1",45,"1","1","3","5","1","98",70,1,45,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1500000,0,0,0,0,0,0,1500000,1500000,330.763285242449,11,330.763285242449,331,0,"1",1,45,"1",0,0,1500000,7777.77783203125,33333.3333333333
"BOGOTA",99,4514364,1,3,1,1,"2","1",20,"3","1","6","2","1","95",4,1,60,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,786000,0,0,0,0,0,0,786000,786000,330.763285242449,11,330.763285242449,331,0,"1",1,60,"1",0,0,786000,3056.66674804688,13100
"BOGOTA",100,4514365,1,1,1,1,"2","1",49,"1","1","5","11","1","58",36,1,48,5,2,2,"2",0,0,0,"1",0,0,0,0,0,0,1283140,0,0,0,0,0,0,1283140,1283140,263.1506421975,11,263.1506421975,263,1,"1",1,48,"1",0,0,1283140,6237.486328125,26732.0833333333
"BOGOTA",102,4514366,1,1,1,1,"2","0",47,"1","2","5","10","4","55",24,4,9,1,2,1,"1",0,0,1e+05,"2",0,0,0,0,0,0,2e+05,0,0,0,1e+05,0,0,3e+05,3e+05,337.736755040595,11,337.736755040595,338,1,NA,2,9,"0",1,1,2e+05,5185.18505859375,33333.3333333333
"BOGOTA",105,4514367,1,1,1,1,"2","1",24,"1","1","5","11","1","98",36,4,60,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,850000,0,0,0,0,0,0,850000,850000,247.124525678539,11,247.124525678539,247,1,"3",2,60,"0",1,1,850000,3305.5556640625,14166.6666666667
"BOGOTA",106,4514368,1,2,1,1,"2","1",27,"3","1","6","1","1","33",12,1,42,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1333140,0,0,0,0,0,0,1333140,1333140,254.687742271476,11,254.687742271476,255,0,"1",1,42,"1",0,0,1333140,7406.33349609375,31741.4285714286
"BOGOTA",108,4514369,1,3,1,1,"2","0",24,"3","1","6","7","6","30",12,1,40,7,1,1,"2",0,0,0,"2",0,0,0,0,0,0,2450000,6e+05,0,0,0,0,0,3050000,3050000,131.653021505745,11,131.653021505745,132,0,"1",1,40,"1",0,0,3050000,17791.666015625,76250
"BOGOTA",109,4514369,1,1,1,1,"2","0",47,"1","1","6","8","1","19",3,1,84,9,2,2,"2",0,0,0,"1",0,0,0,0,0,1e+06,2283333.33333333,0,0,0,0,0,0,2283333.33333333,2283333.33333333,131.653021505745,11,131.653021505745,132,0,"1",1,84,"1",0,0,2283333.25,6342.59228515625,27182.5396825396
"BOGOTA",110,4514369,1,2,1,1,"2","1",55,"2","1","4","9","1","83",360,4,48,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1800000,0,0,0,0,0,0,1800000,1800000,131.653021505745,11,131.653021505745,132,0,"1",1,48,"1",1,1,1800000,8750,37500
"BOGOTA",113,4514370,2,2,1,1,"3","1",21,"5","1","6","4","6","42",1,1,15,4,2,1,"2",0,0,0,"2",0,0,0,0,0,0,350000,0,0,0,0,0,0,350000,350000,234.707409371681,11,234.707409371681,235,0,"3",2,15,"0",0,0,350000,5444.4443359375,23333.3333333333
"BOGOTA",115,4514371,1,1,1,1,"2","1",29,"1","1","5","11","1","55",18,1,48,2,2,2,"2",0,0,0,"1",0,0,0,0,0,0,820857,0,0,0,0,0,0,820857,820857,263.1506421975,11,263.1506421975,263,1,"1",2,48,"0",0,1,820857,3990.27709960938,17101.1875
"BOGOTA",117,4514372,1,1,1,1,"3","0",63,"1","1","5","11","1","51",120,4,48,1,2,2,"1",8e+05,0,0,"2",0,0,0,0,0,0,5e+05,0,0,0,0,0,8e+05,1300000,1300000,258.352080036866,11,258.352080036866,258,1,"3",2,48,"0",1,1,5e+05,2430.5556640625,27083.3333333333
"BOGOTA",120,4514374,1,2,1,1,"2","1",35,"3","1","3","5","1","98",38,1,56,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,1513140,0,0,0,0,0,0,1513140,1513140,250.166944786892,11,250.166944786892,250,0,"1",1,56,"1",0,0,1513140,6304.75,27020.3571428571
"BOGOTA",121,4514374,1,1,1,1,"2","0",56,"1","1","5","11","1","55",142,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,882333.416666667,0,0,0,0,0,0,882333.416666667,882333.416666667,250.166944786892,11,250.166944786892,250,1,"1",1,48,"1",0,0,882333.4375,4289.12109375,18381.9461805556
"BOGOTA",123,4514375,1,1,1,1,"2","0",53,"1","1","5","11","1","45",112,1,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1275000,0,0,0,0,0,0,1275000,1275000,201.182391770539,11,201.182391770539,201,1,"1",1,48,"1",0,0,1275000,6197.91650390625,26562.5
"BOGOTA",124,4514375,1,2,1,1,"2","0",23,"3","1","6","4","1","39",8,1,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1625000,0,0,0,0,0,0,1625000,1625000,201.182391770539,11,201.182391770539,201,0,"1",1,48,"1",0,0,1625000,7899.3056640625,33854.1666666667
"BOGOTA",125,4514376,1,1,1,1,"2","1",41,"1","1","5","11","1","55",2,1,49,4,2,2,"2",0,0,0,"1",0,0,0,0,0,2e+06,820857,0,0,0,0,0,0,820857,820857,242.904658561048,11,242.904658561048,243,1,"1",1,49,"1",0,0,820857,3908.8427734375,16752.1836734694
"BOGOTA",130,4514377,1,1,1,1,"2","0",32,"1","1","5","11","1","32",5,1,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,820857,0,0,0,0,0,0,820857,820857,337.736755040595,11,337.736755040595,338,1,"1",2,48,"0",0,0,820857,3990.27709960938,17101.1875
"BOGOTA",133,4514378,1,1,1,1,"2","1",62,"1","1","3","5","1","39",1,1,84,3,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1550000,0,0,0,0,0,0,1550000,1550000,234.119759331995,11,234.119759331995,234,0,"3",2,84,"0",0,1,1200000,3333.33325195312,18452.380952381
"BOGOTA",136,4514379,1,1,1,1,"2","1",24,"1","1","6","0","1","84",1,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,0,1400000,1693140,0,0,0,0,0,0,1693140,1693140,326.520252433916,11,326.520252433916,327,0,"1",1,48,"1",0,0,1693140,8230.5419921875,35273.75
"BOGOTA",137,4514380,1,2,1,1,"3","0",43,"2","1","6","7","6","13",144,2,30,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,3150000,0,0,0,0,0,0,3150000,3150000,218.961154283874,11,218.961154283874,219,0,"2",1,30,"1",0,0,3150000,24500,105000
"BOGOTA",139,4514380,1,1,1,1,"3","1",55,"1","1","6","9","6","13",144,2,30,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,2925000,0,0,0,0,0,0,2925000,2925000,218.961154283874,11,218.961154283874,219,0,"2",1,30,"1",0,0,2925000,22750,97500
"BOGOTA",140,4514381,1,1,1,1,"2","0",73,"1","1","3","5","1","54",96,3,40,1,2,2,"1",4e+05,0,0,"1",1200000,0,0,0,0,0,737717,0,0,0,1e+05,0,4e+05,1587717,1587717,254.386811904384,11,254.386811904384,254,0,"1",1,40,"1",0,1,737717,4303.34912109375,39692.925
"BOGOTA",141,4514382,1,2,1,1,"2","1",51,"3","1","4","7","1","93",60,1,48,3,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1e+06,0,0,0,0,0,0,1e+06,1e+06,258.629844712917,11,258.629844712917,259,0,"3",2,48,"0",0,1,1e+06,4861.111328125,20833.3333333333
"BOGOTA",142,4514382,1,1,1,1,"2","0",76,"1","1","3","1","4","79",360,4,30,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,80000,0,0,0,0,0,0,80000,80000,258.629844712917,11,258.629844712917,259,0,"3",2,30,"0",1,1,80000,622.222229003906,2666.66666666667
"BOGOTA",145,4514383,1,3,1,1,"3","1",47,"3","1","5","11","1","45",120,4,60,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,5e+05,0,0,0,0,0,0,5e+05,5e+05,238.362792140527,11,238.362792140527,238,1,"3",2,60,"0",1,1,5e+05,1944.44445800781,8333.33333333333
"BOGOTA",149,4514384,1,3,1,1,"3","0",56,"3","1","5","11","4","54",6,4,8,1,2,2,"1",6e+05,0,0,"2",0,0,0,0,0,0,180000,0,0,0,0,0,6e+05,780000,780000,207.886713774121,11,207.886713774121,208,1,"1",2,8,"0",1,1,180000,5250,97500
"BOGOTA",152,4514384,1,8,1,1,"3","0",47,"3","1","5","11","6","97",108,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,90000,0,882523.666666667,0,0,0,0,0,0,882523.666666667,882523.666666667,207.886713774121,11,207.886713774121,208,1,"1",1,48,"1",0,0,882523.6875,4290.0458984375,18385.9097222222
"BOGOTA",153,4514384,1,6,1,1,"3","0",29,"4","1","5","11","1","39",14,1,40,6,2,2,"1",0,0,150000,"2",0,0,0,0,0,0,1087140,0,0,0,150000,0,0,1237140,1237140,207.886713774121,11,207.886713774121,208,1,"1",1,40,"1",0,0,1087140,6341.64990234375,30928.5
"BOGOTA",155,4514385,1,1,1,1,"3","0",52,"1","1","5","11","1","57",300,5,54,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,196.962524653047,11,196.962524653047,197,1,"1",2,54,"0",0,1,1617550.51747335,8541.87432821602,46296.2962962963
"BOGOTA",160,4514387,1,1,1,1,"3","1",63,"1","1","5","11","6","84",420,5,48,2,2,2,"1",1200000,0,0,"1",0,0,0,2e+05,0,0,6e+06,0,16666.6666666667,0,0,0,1200000,7216666.66666667,7216666.66666667,267.929620099751,11,267.929620099751,268,1,"1",2,48,"0",0,1,6e+06,29166.666015625,150347.222222222
"BOGOTA",161,4514387,1,3,1,1,"3","0",25,"6","1","5","11","6","54",48,3,60,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,741473.333333333,0,0,0,0,0,0,1551473.33333333,1551473.33333333,267.929620099751,11,267.929620099751,268,1,"1",1,60,"1",0,1,741473.3125,2883.50732421875,25857.8888888888
"BOGOTA",163,4514387,2,1,1,1,"3","1",32,"1","1","6","5","6","18",36,4,50,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1e+06,0,0,0,0,0,0,1e+06,1e+06,267.929620099751,11,267.929620099751,268,0,"1",1,50,"1",1,1,1e+06,4666.66650390625,20000
"BOGOTA",166,4514388,1,2,1,1,"3","0",24,"2","1","5","11","1","58",24,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,920000,0,935166.666666667,0,0,0,0,0,0,935166.666666667,935166.666666667,213.888324505096,11,213.888324505096,214,1,"1",1,48,"1",0,0,935166.6875,4545.94921875,19482.6388888889
"BOGOTA",167,4514388,1,1,1,1,"3","1",27,"1","1","5","11","1","58",24,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,920000,0,941166.666666667,0,0,0,0,0,0,941166.666666667,941166.666666667,213.888324505096,11,213.888324505096,214,1,"1",1,48,"1",0,0,941166.6875,4575.11572265625,19607.6388888889
"BOGOTA",168,4514389,1,2,1,1,"3","0",63,"2","1","3","4","1","41",300,4,60,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+05,234.119759331995,11,234.119759331995,234,0,"3",2,60,"0",1,1,1617550.51747335,8541.87432821602,3333.33333333333
"BOGOTA",169,4514389,1,1,1,1,"3","1",71,"1","1","3","2","1","41",300,4,60,2,2,2,"1",5e+05,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,5e+05,5e+05,1200000,234.119759331995,11,234.119759331995,234,0,"3",2,60,"0",1,1,1617550.51747335,8541.87432821602,20000
"BOGOTA",170,4514390,1,1,1,1,"4","1",52,"1","1","6","9","6","2",174,2,45,9,2,2,"1",2200000,0,0,"2",0,0,0,0,0,0,8977083.33333333,0,0,0,0,0,2200000,11177083.3333333,11177083.3333333,213.911490196137,11,213.911490196137,214,0,"1",1,45,"1",0,0,8977084,46547.84375,248379.629629629
"BOGOTA",171,4514390,1,2,1,1,"4","0",52,"2","1","6","8","1","2",60,2,45,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,6018333.33333333,0,0,0,0,0,0,6018333.33333333,6018333.33333333,213.911490196137,11,213.911490196137,214,0,"1",1,45,"1",0,0,6018333.5,31206.173828125,133740.740740741
"BOGOTA",172,4514390,1,4,1,1,"4","1",25,"3","1","6","5","1","2",6,1,48,9,2,2,"2",0,0,0,"2",0,0,0,0,0,0,1461473.33333333,0,0,0,0,0,0,1461473.33333333,1461473.33333333,213.911490196137,11,213.911490196137,214,0,"1",1,48,"1",0,0,1461473.375,7104.38427734375,30447.361111111
"BOGOTA",175,4514391,1,1,1,1,"4","0",53,"1","1","3","5","4","84",144,4,48,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,980000,0,0,0,0,0,0,980000,980000,241.981809536919,11,241.981809536919,242,0,"1",2,48,"0",1,1,980000,4763.888671875,20416.6666666667
"BOGOTA",176,4514391,1,2,1,1,"4","0",30,"3","1","6","5","1","2",24,1,48,7,2,2,"2",0,0,0,"1",0,0,0,0,5e+05,0,2166666.66666667,0,0,0,0,0,0,2166666.66666667,2166666.66666667,241.981809536919,11,241.981809536919,242,0,"1",1,48,"1",0,0,2166666.75,10532.408203125,45138.888888889
"BOGOTA",178,4514392,1,1,1,1,"4","1",42,"1","1","5","11","1","57",84,5,72,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+06,205.425424579072,11,205.425424579072,205,1,"1",1,72,"1",0,0,1617550.51747335,8541.87432821602,27777.7777777778
"BOGOTA",179,4514392,1,2,1,1,"4","0",52,"2","1","5","11","1","57",84,5,72,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e+05,205.425424579072,11,205.425424579072,205,1,"1",1,72,"1",0,0,1617550.51747335,8541.87432821602,11111.1111111111
"BOGOTA",186,4514395,1,2,1,1,"3","1",41,"2","1","6","3","6","39",56,4,40,1,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,193.642340868644,11,193.642340868644,194,0,"1",2,40,"0",1,1,1617550.51747335,8541.87432821602,30000
"BOGOTA",187,4514395,1,3,1,1,"3","0",19,"3","1","6","1","1","33",18,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,0,0,916666.666666667,0,0,0,0,0,0,916666.666666667,916666.666666667,193.642340868644,11,193.642340868644,194,0,"1",1,48,"1",0,0,916666.6875,4456.0185546875,19097.2222222222
"BOGOTA",188,4514395,1,1,1,1,"3","0",37,"1","1","6","3","6","41",12,1,48,9,2,2,"2",0,0,0,"1",0,0,0,0,8e+05,0,889357,0,0,0,0,0,0,889357,889357,193.642340868644,11,193.642340868644,194,0,"1",1,48,"1",0,0,889357,4323.26318359375,18528.2708333333
"BOGOTA",189,4514395,1,4,1,1,"3","0",18,"3","1","6","2","1","41",37,1,48,4,2,2,"2",0,0,0,"1",0,0,0,0,750000,0,1008333.33333333,0,0,0,0,0,0,1308333.33333333,1308333.33333333,193.642340868644,11,193.642340868644,194,0,"1",1,48,"1",0,0,1008333.3125,4901.6201171875,27256.9444444444
"BOGOTA",191,4514396,1,1,1,1,"3","0",53,"1","1","4","8","6","57",30,4,20,1,2,1,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e+05,250.444709462943,11,250.444709462943,250,0,"1",2,20,"0",1,1,1617550.51747335,8541.87432821602,20000
"BOGOTA",193,4514397,1,2,1,1,"4","0",39,"2","1","6","4","6","21",24,4,20,2,2,2,"2",0,0,0,"2",0,0,0,0,0,0,737717,0,0,0,0,0,0,737717,737717,341.979787849128,11,341.979787849128,342,0,"1",2,20,"0",1,1,737717,8606.6982421875,36885.85
"BOGOTA",194,4514397,1,1,1,1,"4","1",41,"1","1","6","5","6","44",84,1,48,9,2,2,"1",1300000,0,0,"1",0,0,0,0,0,0,5416666.66666667,0,0,0,0,0,1300000,6716666.66666667,6716666.66666667,341.979787849128,11,341.979787849128,342,0,"1",1,48,"1",0,0,5416666.5,26331.017578125,139930.555555556
"BOGOTA",195,4514398,1,1,1,1,"4","0",58,"1","1","5","11","6","51",240,5,36,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300000,250.166944786892,11,250.166944786892,250,1,"1",1,36,"1",0,0,1617550.51747335,8541.87432821602,36111.1111111111
"BOGOTA",196,4514398,1,3,1,1,"4","0",33,"3","1","6","7","1","53",8,1,30,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,650000,0,0,0,0,0,0,650000,650000,250.166944786892,11,250.166944786892,250,0,"1",1,30,"1",0,0,650000,5055.5556640625,21666.6666666667
"BOGOTA",197,4514398,1,2,1,1,"4","1",51,"2","1","5","11","1","53",240,5,56,4,2,2,"2",0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e+05,250.166944786892,11,250.166944786892,250,1,"1",2,56,"0",0,0,1617550.51747335,8541.87432821602,14285.7142857143
