
===================================================================================================================================================================================================================================================================================
   skim_type  skim_variable   n_missing   complete_rate   character.min character.max character.empty character.n_unique character.whitespace   numeric.mean       numeric.sd        numeric.p0      numeric.p25      numeric.p50      numeric.p75      numeric.p100   numeric.hist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1  character     dominio          0             1               6             6              0                1                   0                  NA                NA                NA               NA               NA               NA               NA                    
43  numeric      ingtotob         0             1              NA            NA             NA                NA                  NA          1602979.13433065  2558321.33206954         0              7e+05            1e+06           1588700      85833333.3333333    ▇▁▁▁▁    
44  numeric       ingtot          0             1              NA            NA             NA                NA                  NA          1798185.61986238  2687701.80044163       15000            8e+05           1069453          1750703      85833333.3333333    ▇▁▁▁▁    
45  numeric       fex_c           0             1              NA            NA             NA                NA                  NA          249.087513971747  59.5726914819908  106.612617426093 214.699105603549 240.570060295446 268.967992340561 808.241451693803    ▇▅▁▁▁    
46  numeric       depto           0             1              NA            NA             NA                NA                  NA                 11                 0                11               11               11               11               11           ▁▁▇▁▁    
47  numeric      fex_dpto         0             1              NA            NA             NA                NA                  NA          249.087513971747  59.5726914819908  106.612617426093 214.699105603549 240.570060295446 268.967992340561 808.241451693803    ▇▅▁▁▁    
48  numeric      fweight          0             1              NA            NA             NA                NA                  NA          249.089758555016  59.5685178836333        107              215              241              269              808           ▇▅▁▁▁    
49  numeric    maxEducLevel       1     0.999938563617374      NA            NA             NA                NA                  NA          5.95404276234947   1.2209040488683         1                5                6                7                7            ▁▁▁▁▇    
50  numeric      college          0             1              NA            NA             NA                NA                  NA          0.31922344412361  0.466190078198183        0                0                0                1                1            ▇▁▁▁▃    
51  numeric      regSalud       1369    0.915893592185292      NA            NA             NA                NA                  NA          1.33445130131473  0.727352582872396        1                1                1                1                3            ▇▁▁▁▂    
52  numeric     cotPension        0             1              NA            NA             NA                NA                  NA          1.44682681083738  0.542109138288962        1                1                1                2                3            ▇▁▆▁▁    
53  numeric        pea            0             1              NA            NA             NA                NA                  NA                  1                 0                1                1                1                1                1            ▁▁▇▁▁    
54  numeric  totalHoursWorked     0             1              NA            NA             NA                NA                  NA          47.5488726423788    15.4733504559          1                40               48               50              130           ▁▇▂▁▁    
55  numeric       formal          0             1              NA            NA             NA                NA                  NA          0.595564293174418 0.490797580276291        0                0                1                1                1            ▆▁▁▁▇    
56  numeric      informal         0             1              NA            NA             NA                NA                  NA          0.404435706825582 0.490797580276291        0                0                0                1                1            ▇▁▁▁▆    
57  numeric    cuentaPropia       0             1              NA            NA             NA                NA                  NA          0.31105240523438  0.462938411653927        0                0                0                1                1            ▇▁▁▁▃    
58  numeric    microEmpresa       0             1              NA            NA             NA                NA                  NA          0.439515881304909 0.496343436197875        0                0                0                1                1            ▇▁▁▁▆    
59  numeric      sizeFirm         0             1              NA            NA             NA                NA                  NA           3.1710388892302  1.65435868612234         1                2                3                5                5            ▆▅▂▃▇    
60  numeric     y_total_m         0             1              NA            NA             NA                NA                  NA          1617550.51747335  2315556.77707932         84             8e+05           1025000      1617550.51747335      7e+07          ▇▁▁▁▁    
61  numeric    y_total_m_ha       0             1              NA            NA             NA                NA                  NA          8541.87432821602  13205.9255244281  0.47152778506279 3888.88891601562 5185.18505859375 8541.87432821602   350583.34375      ▇▁▁▁▁    
62  numeric      ingtot_H         0             1              NA            NA             NA                NA                  NA          44025.6785310784  106844.099663249  333.333333333333 16666.6666666667 22857.1428571429     39812.5          8087500         ▇▁▁▁▁    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
